Ensembl ID,Cell Count,Gene Name
ENSG00000197497,231,ZNF665
ENSG00000181222,231,POLR2A
ENSG00000204388,231,HSPA1B
ENSG00000123933,230,MXD4
ENSG00000113595,230,TRIM23
ENSG00000233608,230,TWIST2
ENSG00000186660,230,ZFP91
ENSG00000156983,230,BRPF1
ENSG00000263001,230,GTF2I
ENSG00000167548,230,KMT2D
ENSG00000150991,230,UBC
ENSG00000066697,229,MSANTD3
ENSG00000147180,229,ZNF711
ENSG00000087157,229,PGS1
ENSG00000074047,229,GLI2
ENSG00000164296,229,TIGD6
ENSG00000168348,229,INSM2
ENSG00000164107,229,HAND2
ENSG00000142208,228,AKT1
ENSG00000137309,228,HMGA1
ENSG00000186777,228,ZNF732
ENSG00000125817,228,CENPB
ENSG00000050748,228,MAPK9
ENSG00000106785,228,TRIM14
ENSG00000048405,228,ZNF800
ENSG00000131788,228,PIAS3
ENSG00000196705,228,ZNF431
ENSG00000182986,228,ZNF320
ENSG00000152804,228,HHEX
ENSG00000105996,228,HOXA2
ENSG00000168772,228,CXXC4
ENSG00000109685,228,NSD2
ENSG00000100815,228,TRIP11
ENSG00000215474,227,SKOR2
ENSG00000162086,227,ZNF75A
ENSG00000100426,227,ZBED4
ENSG00000139352,227,ASCL1
ENSG00000197935,227,ZNF311
ENSG00000006576,227,PHTF2
ENSG00000070018,227,LRP6
ENSG00000249709,227,ZNF564
ENSG00000248483,226,POU5F2
ENSG00000097007,226,ABL1
ENSG00000101412,226,E2F1
ENSG00000132478,225,UNK
ENSG00000088881,225,EBF4
ENSG00000183337,225,BCOR
ENSG00000119508,224,NR4A3
ENSG00000123407,224,HOXC12
ENSG00000120693,224,SMAD9
ENSG00000175467,224,SART1
ENSG00000111206,224,FOXM1
ENSG00000169926,224,KLF13
ENSG00000188629,224,ZNF177
ENSG00000215021,224,PHB2
ENSG00000146414,224,SHPRH
ENSG00000177551,224,NHLH2
ENSG00000174428,224,GTF2IRD2B
ENSG00000182348,223,ZNF804B
ENSG00000110768,223,GTF2H1
